"ean","price"
"4007953364940","10,00 €"
"4007953338996","10,00 €"
"4007953286914","10,95 €"
"4007953357492","12,00 €"
"4007953406244","9,99 €"
"4007953406350","9,99 €"
"4007953406374","8,99 €"
"4007953406794","9,99 €"
"4007953412153","9,99 €"
"4007953412139","9,99 €"
"4007953414126","9,99 €"
"4007953414133","2,99 €"
"4007953414188","2,99 €"
"4007953414171","9,99 €"
"4007953406299","9,99 €"
"4007953406305","9,99 €"
"4007953406336","9,99 €"
"4007953421834","129,90 €"
